,RegionID,SizeRank,Zip,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,AvgHomeValue
5429,84315,5483,60053,IL,Morton Grove,Chicago-Naperville-Elgin,Cook County,320767.0,319292.0,318311.0,317587.0,317079.0,316658.0,316903.0,316903.0,316282.0,315545.0,314528.0,313853.0,316975.67
5502,84692,5558,60803,IL,Alsip,Chicago-Naperville-Elgin,Cook County,182266.0,183341.0,185009.0,185469.0,185785.0,185489.0,186001.0,186349.0,186644.0,186520.0,186002.0,185487.0,185363.5
5517,84461,5574,60406,IL,Blue Island,Chicago-Naperville-Elgin,Cook County,125508.0,126799.0,127895.0,129035.0,129333.0,129441.0,129998.0,130505.0,131522.0,131834.0,131972.0,131833.0,129639.58
5555,399607,5612,60487,IL,Tinley Park,Chicago-Naperville-Elgin,Cook County,269712.0,269611.0,269507.0,269813.0,270214.0,270574.0,270945.0,271163.0,271121.0,270964.0,270702.0,270278.0,270383.67
5691,84277,5748,60008,IL,Rolling Meadows,Chicago-Naperville-Elgin,Cook County,246793.0,246376.0,246548.0,246843.0,247055.0,246944.0,246978.0,246690.0,246107.0,245615.0,245320.0,245142.0,246367.58
5693,84490,5751,60439,IL,Lemont,Chicago-Naperville-Elgin,Cook County,382580.0,381868.0,382080.0,382731.0,382947.0,383565.0,384622.0,385601.0,386166.0,386515.0,386889.0,387395.0,384413.25
5731,84494,5789,60443,IL,Matteson,Chicago-Naperville-Elgin,Cook County,172737.0,172920.0,172808.0,173129.0,173309.0,173770.0,174629.0,175133.0,175358.0,175770.0,176197.0,176744.0,174375.33
5803,84478,5862,60426,IL,Harvey,Chicago-Naperville-Elgin,Cook County,41997.0,42473.0,42547.0,42950.0,43170.0,43698.0,44402.0,44727.0,44878.0,44765.0,45239.0,45468.0,43859.5
5869,84657,5928,60661,IL,Chicago,Chicago-Naperville-Elgin,Cook County,389133.0,387154.0,385709.0,385931.0,387427.0,389044.0,389872.0,389598.0,388622.0,388271.0,387364.0,386596.0,387893.42
5989,84481,6049,60430,IL,Homewood,Chicago-Naperville-Elgin,Cook County,163788.0,163946.0,164540.0,165238.0,165683.0,165800.0,166142.0,166527.0,166854.0,167084.0,167401.0,167823.0,165902.17
6038,84439,6101,60194,IL,Schaumburg,Chicago-Naperville-Elgin,Cook County,270559.0,270335.0,270717.0,271217.0,271477.0,271181.0,271252.0,271330.0,271373.0,271116.0,270919.0,270800.0,271023.0
6186,84471,6249,60419,IL,Dolton,Chicago-Naperville-Elgin,Cook County,97426.0,98263.0,99134.0,100251.0,101205.0,102343.0,103986.0,105433.0,106280.0,106714.0,107130.0,107758.0,102993.58
6211,84524,6275,60473,IL,South Holland,Chicago-Naperville-Elgin,Cook County,149514.0,149942.0,150711.0,151718.0,152090.0,151744.0,151741.0,152086.0,152474.0,152582.0,152438.0,152668.0,151642.33
6326,84381,6390,60130,IL,Forest Park,Chicago-Naperville-Elgin,Cook County,254009.0,254931.0,256641.0,257084.0,256614.0,256007.0,256055.0,256287.0,255664.0,254475.0,254104.0,254224.0,255507.92
6568,84403,6636,60153,IL,Maywood,Chicago-Naperville-Elgin,Cook County,161355.0,162111.0,163180.0,164373.0,165156.0,165947.0,166777.0,167289.0,167320.0,167316.0,167450.0,167843.0,165509.75
6652,84409,6720,60160,IL,Melrose Park,Chicago-Naperville-Elgin,Cook County,210054.0,211058.0,212110.0,212926.0,213351.0,213826.0,214377.0,214731.0,215197.0,215589.0,216450.0,216975.0,213887.0
6656,84348,6725,60093,IL,Winnetka,Chicago-Naperville-Elgin,Cook County,1118131.0,1113981.0,1111208.0,1110719.0,1111210.0,1110983.0,1113555.0,1114496.0,1112949.0,1110742.0,1107726.0,1104882.0,1111715.17
6664,84547,6733,60513,IL,Brookfield,Chicago-Naperville-Elgin,Cook County,244802.0,244298.0,243765.0,244224.0,244817.0,245275.0,246043.0,246469.0,246840.0,246747.0,246561.0,246321.0,245513.5
6686,84404,6755,60154,IL,Westchester,Chicago-Naperville-Elgin,Cook County,248833.0,248431.0,248956.0,249456.0,250003.0,250065.0,250574.0,250670.0,250695.0,250471.0,250428.0,250253.0,249902.92
6703,84516,6772,60465,IL,Palos Hills,Chicago-Naperville-Elgin,Cook County,238212.0,238293.0,239214.0,240231.0,241014.0,241570.0,242211.0,242492.0,242376.0,242242.0,242120.0,241949.0,240993.67
6762,84694,6830,60805,IL,Evergreen Park,Chicago-Naperville-Elgin,Cook County,185839.0,186705.0,187625.0,188352.0,189050.0,189864.0,190864.0,191689.0,192304.0,192726.0,193167.0,193364.0,190129.08
6840,84413,6910,60164,IL,Northlake,Chicago-Naperville-Elgin,Cook County,201515.0,201664.0,201744.0,202016.0,202315.0,202778.0,203709.0,204097.0,204456.0,204777.0,205151.0,205154.0,203281.33
6919,84455,6990,60304,IL,Oak Park,Chicago-Naperville-Elgin,Cook County,392745.0,390965.0,390031.0,390164.0,389903.0,388654.0,386705.0,385139.0,383351.0,381809.0,379761.0,377978.0,386433.75
7273,84575,7348,60546,IL,Riverside,Chicago-Naperville-Elgin,Cook County,311043.0,310404.0,309879.0,309925.0,309471.0,308924.0,309104.0,309488.0,309530.0,308898.0,308132.0,307019.0,309318.08
7288,84326,7363,60070,IL,Prospect Heights,Chicago-Naperville-Elgin,Cook County,333746.0,332405.0,331187.0,331201.0,331094.0,331130.0,330720.0,330674.0,330074.0,329728.0,329166.0,328713.0,330819.83
7444,84382,7522,60131,IL,Franklin Park,Chicago-Naperville-Elgin,Cook County,206237.0,206570.0,207026.0,208003.0,208482.0,208512.0,208741.0,208804.0,208752.0,208866.0,209140.0,209175.0,208192.33
7475,84419,7554,60173,IL,Schaumburg,Chicago-Naperville-Elgin,Cook County,331699.0,331021.0,330618.0,331026.0,331181.0,331261.0,331724.0,332148.0,331980.0,332232.0,332166.0,332228.0,331607.0
7515,84358,7593,60104,IL,Bellwood,Chicago-Naperville-Elgin,Cook County,163460.0,164032.0,165420.0,166536.0,166664.0,167154.0,168107.0,169398.0,169764.0,169951.0,170428.0,171517.0,167702.58
7652,84506,7732,60455,IL,Bridgeview,Chicago-Naperville-Elgin,Cook County,202609.0,202664.0,203565.0,205528.0,206433.0,206905.0,207369.0,207828.0,207899.0,207940.0,207944.0,208409.0,206257.75
7662,84529,7742,60478,IL,Country Club Hills,Chicago-Naperville-Elgin,Cook County,132837.0,133618.0,134873.0,136009.0,136414.0,136607.0,136449.0,136321.0,135549.0,134879.0,134370.0,134410.0,135194.67
7953,84468,8040,60415,IL,Chicago Ridge,Chicago-Naperville-Elgin,Cook County,181583.0,181775.0,182027.0,182495.0,183007.0,183277.0,184069.0,184640.0,184998.0,185070.0,185020.0,184986.0,183578.92
